CO_IES,Instituicao,CO_CATEGAD,CO_CURSO,NO_CURSO,Municipio,UF,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,NT_GER
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,A,D,D,D,B,F,E,E,E,C,A,A,A,D,A,A,B,C,A,E,E,E,E,H,39.8
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,A,D,C,D,B,E,A,B,B,E,A,A,A,A,B,A,B,C,B,C,C,E,E,E,42.5
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,A,D,B,E,B,B,A,B,A,E,A,A,A,A,A,A,B,C,A,C,C,E,A,C,31.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,27,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,A,D,D,C,A,H,A,A,A,E,A,A,A,A,E,E,A,A,B,A,D,E,A,F,35.1
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,A,A,E,E,B,D,A,A,A,E,A,A,A,A,B,A,B,F,A,A,B,E,H,C,29.2
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,46,A,C,C,D,C,E,B,E,E,E,A,A,A,A,D,B,F,K,A,C,C,A,E,I,25.6
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,,,,,,,,,,,,,,,,,,,,,,,,,35.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,26,A,D,E,E,B,H,A,B,A,E,A,A,A,D,A,A,C,E,A,C,C,E,E,I,35.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,24,A,D,A,E,D,G,A,B,A,C,A,A,A,D,A,A,B,G,A,C,E,E,H,C,25.9
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,A,D,B,B,B,F,A,B,A,C,A,A,A,A,A,A,B,A,B,B,C,E,A,H,40.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,26,A,D,E,D,B,E,E,B,A,E,A,A,A,A,A,A,B,C,A,B,E,E,C,E,29.9
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,A,A,F,D,B,D,C,B,A,E,A,A,A,A,B,A,B,A,A,B,B,E,E,C,32.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,A,A,D,D,B,E,E,C,E,E,A,A,A,A,A,A,A,G,A,B,B,E,C,E,34.4
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,A,D,B,E,B,E,B,D,D,C,A,A,A,A,A,A,B,C,A,C,C,E,E,H,46.8
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,21,A,D,D,C,B,C,C,C,A,C,A,A,A,A,A,B,B,C,B,B,C,E,H,G,45.2
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,A,D,D,B,D,B,A,A,E,A,A,A,A,B,A,A,G,B,A,B,E,A,C,23.8
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,21,A,D,C,F,A,A,A,B,A,E,A,A,A,A,A,A,B,K,A,C,C,E,H,E,40.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,32,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,,,,,,,,,,,,,,,,,,,,,,,,,
